experiment,tag,class,n,flat_accuracy,cascade_accuracy,delta
exp5_three_stage_justification,watai,Benign,209,0.9138755980861244,0.9569377990430622,0.0430622009569378
exp5_three_stage_justification,watai,BruteForce,3,0.6666666666666666,0.6666666666666666,0.0
exp5_three_stage_justification,watai,DDoS,6791,0.9951406273008393,0.9966131644824032,0.0014725371815639265
exp5_three_stage_justification,watai,DoS,1628,0.9963144963144963,0.9963144963144963,0.0
exp5_three_stage_justification,watai,Mirai,539,1.0,0.9981447124304267,-0.0018552875695733162
exp5_three_stage_justification,watai,Recon,69,0.8405797101449275,0.8115942028985508,-0.02898550724637672
exp5_three_stage_justification,watai,Spoofing,94,0.7872340425531915,0.7446808510638298,-0.042553191489361764
exp5_three_stage_justification,watai,Web,6,0.3333333333333333,0.16666666666666666,-0.16666666666666666
