subtask,model,macro_f1_A_watai46,macro_f1_B_watai_common37,macro_f1_C_merged_real39,total_drop_A_minus_C,feature_effect_A_minus_B,residual_effect_B_minus_C,feature_effect_share_of_total
overall,xgboost_heavy,0.8252712840641543,0.7975010282747641,0.6654096061872745,0.15986167787687977,0.027770255789390186,0.13209142208748959,0.17371427698124078
overall,decision_tree_lite,0.7353255025548099,0.7351360495396199,0.6232776568378959,0.11204784571691395,0.000189453015190022,0.11185839270172393,0.001690822469435693
flood,xgboost_heavy,0.9995361236847483,0.999490742008142,0.7355544775465883,0.26398164613816,4.5381676606282007e-05,0.2639362644615537,0.0001719122418932512
flood,decision_tree_lite,0.9996772752347987,0.9997075136406641,0.7227714628002055,0.2769058124345931,-3.023840586546811e-05,0.2769360508404586,-0.00010920105143192186
